# Weather station Khajuraho (airport), India, WMO_ID=42567,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42567&lang=en
#
"Local time in Khajuraho (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.05.2016 14:30";"44.8";"732.7";"750.4";"-1.5";"9";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"02.05.2016 11:30";"40.6";"734.2";"752.2";"-0.9";"15";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"02.05.2016 08:30";"29.6";"735.1";"753.7";"";"34";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"01.05.2016 17:30";"42.0";"730.7";"748.5";"-2.0";"8";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"45.2";"";"";"";"";"";"4.0";"0.6";"";"";"";"";"";"";
"01.05.2016 14:30";"44.6";"732.7";"750.4";"-1.9";"7";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.0";"";"";"";"";"";"";
"01.05.2016 11:30";"42.0";"734.6";"752.5";"-0.8";"8";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.6";"";"";"";"";"";"";
"01.05.2016 08:30";"29.8";"735.4";"754.0";"";"26";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.7";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"30.04.2016 17:30";"41.4";"731.9";"749.8";"-1.1";"7";"Wind blowing from the west-northwest";"4";"";"";"40%.";" ";"";"";"";"44.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"30.04.2016 14:30";"44.2";"733.0";"750.7";"-1.8";"6";"Wind blowing from the west-northwest";"6";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.5";"";"";"";"";"";"";
"30.04.2016 11:30";"43.1";"734.8";"752.6";"-0.5";"7";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.8";"";"";"";"";"";"";
"30.04.2016 08:30";"33.2";"735.3";"753.7";"";"16";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"25.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.3";"";"";"";"";"";"";
"29.04.2016 17:30";"40.2";"733.0";"751.0";"-0.9";"10";"Wind blowing from the north-northwest";"4";"";"";"50%.";" ";"";"";"";"44.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.7";"";"";"";"";"";"";
"29.04.2016 14:30";"44.0";"733.9";"751.7";"-1.9";"8";"Wind blowing from the west-northwest";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.9";"";"";"";"";"";"";
"29.04.2016 11:30";"41.8";"735.8";"753.7";"-0.2";"9";"Wind blowing from the east-northeast";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.8";"";"";"";"";"";"";
"29.04.2016 08:30";"32.2";"736.0";"754.5";"";"19";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"28.04.2016 17:30";"40.4";"732.7";"750.6";"-1.1";"9";"Wind blowing from the west-northwest";"3";"";"";"40%.";" ";"";"";"";"43.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.4";"";"";"";"";"";"";
"28.04.2016 14:30";"43.0";"733.8";"751.6";"-1.8";"8";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.7";"";"";"";"";"";"";
"28.04.2016 11:30";"40.8";"735.6";"753.6";"-0.1";"11";"Wind blowing from the east-northeast";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.0";"";"";"";"";"";"";
"28.04.2016 08:30";"31.4";"735.7";"754.3";"";"21";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.7";"";"";"";"";"";"";
"27.04.2016 17:30";"39.0";"733.3";"751.3";"-1.0";"9";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"";"42.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.1";"";"";"";"";"";"";
"27.04.2016 14:30";"42.0";"734.3";"752.2";"-1.7";"8";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.5";"";"";"";"";"";"";
"27.04.2016 11:30";"40.2";"736.0";"754.0";"-0.6";"11";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.3";"";"";"";"";"";"";
"27.04.2016 08:30";"30.6";"736.6";"755.2";"";"29";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"23.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.8";"";"";"";"";"";"";
"26.04.2016 17:30";"38.2";"734.6";"752.7";"-0.8";"9";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"";"42.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.6";"";"";"";"";"";"";
"26.04.2016 14:30";"41.8";"735.4";"753.3";"-1.7";"6";"Wind blowing from the east-northeast";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.2";"";"";"";"";"";"";
"26.04.2016 11:30";"39.6";"737.1";"755.2";"-0.1";"6";"Wind blowing from the east";"6";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.5";"";"";"";"";"";"";
"26.04.2016 08:30";"29.6";"737.2";"755.9";"";"29";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"22.9";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"25.04.2016 17:30";"37.8";"733.1";"751.2";"-0.8";"9";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"41.1";"";"";"";"";"";"4.0";"0.4";"";"";"";"";"";"";
"25.04.2016 14:30";"40.0";"733.9";"751.9";"-1.6";"8";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.2";"";"";"";"";"";"";
"25.04.2016 11:30";"38.8";"735.5";"753.6";"0.3";"10";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.4";"";"";"";"";"";"";
"25.04.2016 08:30";"28.2";"735.2";"753.9";"";"29";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"20.7";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"24.04.2016 17:30";"38.2";"731.4";"749.4";"-1.1";"9";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"41.5";"";"";"";"";"";"4.0";"-0.4";"";"";"";"";"";"";
"24.04.2016 14:30";"40.8";"732.5";"750.4";"-1.3";"6";"Wind blowing from the west-northwest";"8";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-2.4";"";"";"";"";"";"";
"24.04.2016 11:30";"39.4";"733.8";"751.8";"-0.1";"5";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-5.5";"";"";"";"";"";"";
"24.04.2016 08:30";"30.8";"733.9";"752.4";"";"20";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"23.04.2016 17:30";"39.2";"730.5";"748.5";"-0.8";"11";"Wind blowing from the west-northwest";"8";"";"";"no clouds";" ";"";"";"";"41.4";"";"";"";"";"";"4.0";"3.3";"";"";"";"";"";"";
"23.04.2016 14:30";"40.8";"731.3";"749.2";"-1.7";"9";"Wind blowing from the west-northwest";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.6";"";"";"";"";"";"";
"23.04.2016 11:30";"39.0";"733.0";"751.0";"0.0";"12";"Wind blowing from the north-west";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"23.04.2016 08:30";"33.6";"733.0";"751.3";"";"15";"Wind blowing from the west-northwest";"8";"";"";"no clouds";" ";"";"";"27.1";"";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"22.04.2016 17:30";"39.8";"730.2";"748.1";"-1.5";"9";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"43.4";"";"";"";"";"";"4.0";"1.5";"";"";"";"";"";"";
"22.04.2016 14:30";"43.0";"731.7";"749.5";"-2.1";"9";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.5";"";"";"";"";"";"";
"22.04.2016 11:30";"40.2";"733.8";"751.8";"-0.6";"10";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"22.04.2016 08:30";"30.8";"734.4";"753.0";"";"34";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.6";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"21.04.2016 17:30";"39.2";"732.3";"750.3";"-1.5";"15";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"42.6";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"21.04.2016 14:30";"42.0";"733.8";"751.7";"-2.0";"12";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"21.04.2016 11:30";"39.4";"735.8";"753.9";"-0.3";"18";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"21.04.2016 08:30";"31.6";"736.1";"754.6";"";"32";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"20.04.2016 17:30";"39.2";"734.2";"752.2";"-1.1";"12";"Wind blowing from the west";"5";"";"";"40%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.9";"";"";"";"";"";"";
"20.04.2016 14:30";"42.6";"735.3";"753.2";"-2.1";"10";"Wind blowing from the west-northwest";"6";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.9";"";"";"";"";"";"";
"20.04.2016 11:30";"40.8";"737.4";"755.4";"0.0";"15";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"20.04.2016 08:30";"30.4";"737.4";"756.1";"";"37";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"19.04.2016 17:30";"38.8";"733.9";"752.0";"-0.5";"11";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.9";"";"";"";"";"";"";
"19.04.2016 14:30";"42.6";"734.4";"752.3";"-2.0";"8";"Wind blowing from the west-northwest";"5";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.9";"";"";"";"";"";"";
"19.04.2016 11:30";"40.6";"736.4";"754.4";"-0.4";"10";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.9";"";"";"";"";"";"";
"19.04.2016 08:30";"29.4";"736.8";"755.5";"";"34";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"18.04.2016 17:30";"39.0";"733.0";"751.0";"-1.2";"14";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.6";"";"";"";"";"";"";
"18.04.2016 14:30";"41.6";"734.2";"752.1";"-2.1";"13";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.6";"";"";"";"";"";"";
"18.04.2016 11:30";"40.2";"736.3";"754.3";"0.0";"15";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"18.04.2016 08:30";"33.2";"736.3";"754.8";"";"27";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"17.04.2016 17:30";"39.0";"732.7";"750.7";"-0.7";"12";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.4";"";"";"";"";"";"";
"17.04.2016 14:30";"41.8";"733.4";"751.3";"-1.6";"9";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.8";"";"";"";"";"";"";
"17.04.2016 11:30";"39.0";"735.0";"753.1";"-0.1";"14";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"17.04.2016 08:30";"35.2";"735.1";"753.4";"";"25";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"16.04.2016 17:30";"42.8";"731.5";"749.3";"-0.9";"5";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"45.6";"";"";"";"";"";"4.0";"-3.2";"";"";"";"";"";"";
"16.04.2016 14:30";"45.0";"732.4";"750.1";"-2.5";"6";"Wind blowing from the west-northwest";"9";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.0";"";"";"";"";"";"";
"16.04.2016 11:30";"42.6";"734.9";"752.8";"-0.5";"9";"Wind blowing from the west-northwest";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.1";"";"";"";"";"";"";
"16.04.2016 08:30";"31.6";"735.4";"753.9";"";"27";"Wind blowing from the west";"5";"";"";"40%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.4";"";"";"";"";"";"";
"15.04.2016 17:30";"38.2";"733.2";"751.3";"-0.7";"13";"Wind blowing from the west-northwest";"6";"";"";"50%.";" ";"";"";"";"44.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.8";"";"";"";"";"";"";
"15.04.2016 14:30";"43.6";"733.9";"751.7";"-2.3";"9";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.3";"";"";"";"";"";"";
"15.04.2016 11:30";"41.8";"736.2";"754.1";"0.0";"10";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"15.04.2016 08:30";"29.8";"736.2";"754.9";"";"36";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"14.04.2016 17:30";"39.4";"733.0";"751.0";"-0.3";"10";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"42.4";"";"";"";"";"";"4.0";"2.2";"";"";"";"";"";"";
"14.04.2016 14:30";"42.0";"733.3";"751.2";"-2.0";"8";"Wind blowing from the north-west";"8";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.5";"";"";"";"";"";"";
"14.04.2016 11:30";"39.6";"735.3";"753.3";"0.2";"10";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"14.04.2016 08:30";"29.6";"735.1";"753.7";"";"27";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"13.04.2016 17:30";"36.6";"731.9";"750.0";"-1.4";"14";"Wind blowing from the west";"8";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"13.04.2016 14:30";"39.0";"733.3";"751.3";"-2.8";"11";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.6";"";"";"";"";"";"";
"13.04.2016 11:30";"37.4";"736.1";"754.3";"-0.6";"18";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"13.04.2016 08:30";"27.8";"736.7";"755.5";"";"39";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"12.04.2016 17:30";"35.2";"733.7";"752.0";"-1.4";"18";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"12.04.2016 14:30";"37.8";"735.1";"753.2";"-2.5";"15";"Wind blowing from the west-northwest";"8";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"12.04.2016 11:30";"37.8";"737.6";"755.8";"-0.7";"18";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"12.04.2016 08:30";"30.2";"738.3";"757.0";"";"33";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"11.04.2016 17:30";"38.0";"734.3";"752.4";"-1.3";"13";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"41.6";"";"";"";"";"";"4.0";"5.0";"";"";"";"";"";"";
"11.04.2016 14:30";"41.2";"735.6";"753.6";"-2.0";"12";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"11.04.2016 11:30";"38.6";"737.6";"755.8";"-0.1";"17";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"11.04.2016 08:30";"29.0";"737.7";"756.4";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"10.04.2016 17:30";"38.4";"735.2";"753.3";"-0.9";"12";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"42.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.7";"";"";"";"";"";"";
"10.04.2016 14:30";"42.0";"736.1";"754.0";"-2.0";"11";"Wind blowing from the west-northwest";"5";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.7";"";"";"";"";"";"";
"10.04.2016 11:30";"36.8";"738.1";"756.4";"-0.5";"18";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"10.04.2016 08:30";"27.6";"738.6";"757.5";"";"36";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"09.04.2016 17:30";"37.6";"734.8";"753.0";"-1.3";"12";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"";"41.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.1";"";"";"";"";"";"";
"09.04.2016 14:30";"41.4";"736.1";"754.1";"-2.1";"13";"Wind blowing from the west";"4";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"09.04.2016 11:30";"37.8";"738.2";"756.4";"0.0";"17";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"09.04.2016 08:30";"27.6";"738.2";"757.0";"";"42";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"08.04.2016 17:30";"38.0";"734.5";"752.6";"-1.5";"16";"Wind blowing from the west";"4";"";"";"60%.";" ";"";"";"";"41.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"08.04.2016 14:30";"40.6";"736.0";"754.0";"-1.8";"14";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.1";"";"";"";"";"";"";
"08.04.2016 11:30";"37.0";"737.8";"756.1";"-0.7";"20";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"08.04.2016 08:30";"29.6";"738.5";"757.2";"";"34";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"07.04.2016 17:30";"35.2";"735.5";"753.8";"-0.9";"17";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"38.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.5";"";"";"";"";"";"";
"07.04.2016 14:30";"37.8";"736.4";"754.6";"-1.6";"18";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.5";"";"";"";"";"";"";
