# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.11.2017 17:30";"26.0";"722.4";"758.7";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"13.11.2017 17:30";"26.0";"722.0";"758.3";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"13.11.2017 08:30";"16.0";"725.0";"762.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"12.11.2017 08:30";"16.6";"724.5";"762.1";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"11.11.2017 17:30";"26.8";"721.8";"757.9";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"11.11.2017 08:30";"17.0";"724.3";"761.8";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"10.11.2017 17:30";"27.0";"725.5";"761.8";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"10.11.2017 08:30";"17.2";"724.0";"761.5";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"09.11.2017 17:30";"27.0";"721.5";"757.6";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"09.11.2017 08:30";"18.6";"724.5";"761.8";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"08.11.2017 17:30";"27.2";"721.9";"758.0";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"08.11.2017 08:30";"18.6";"724.8";"762.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"07.11.2017 08:30";"16.6";"724.7";"762.3";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"722.2";"758.2";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"06.11.2017 08:30";"19.6";"725.4";"762.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"05.11.2017 17:30";"28.2";"722.4";"758.4";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"05.11.2017 08:30";"18.0";"725.2";"762.6";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"04.11.2017 17:30";"29.8";"722.3";"758.1";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"04.11.2017 08:30";"19.0";"724.2";"761.5";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"03.11.2017 17:30";"29.0";"721.2";"757.0";"";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"03.11.2017 08:30";"19.6";"724.1";"761.3";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"02.11.2017 17:30";"29.2";"721.2";"757.0";"";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"02.11.2017 08:30";"18.8";"724.3";"761.6";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"01.11.2017 17:30";"30.0";"721.3";"757.0";"";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
