# Weather station Disa, India, WMO_ID=42539,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42539&lang=en
#
"Local time in Disa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.12.2017 11:30";"21.2";"752.2";"764.2";"0.5";"54";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.5";"";"";"";"";"";"";
"15.12.2017 08:30";"13.6";"751.7";"764.0";"";"75";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"12.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.3";"";"";"";"";"";"";
"14.12.2017 17:30";"24.8";"749.9";"761.7";"-0.4";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"14.12.2017 14:30";"27.6";"750.3";"762.0";"-1.9";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"14.12.2017 11:30";"23.4";"752.2";"764.1";"0.8";"45";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"14.12.2017 08:30";"13.0";"751.4";"763.7";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"13.12.2017 17:30";"24.0";"749.2";"761.0";"0.5";"39";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"13.12.2017 14:30";"25.6";"748.7";"760.4";"-2.8";"28";"";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.9";"";"";"";"";"";"";
"13.12.2017 11:30";"24.2";"751.5";"763.3";"0.8";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"13.12.2017 08:30";"13.2";"750.7";"763.0";"";"71";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"12.12.2017 17:30";"24.4";"748.7";"760.5";"-0.3";"37";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"12.12.2017 14:30";"25.6";"749.0";"760.7";"-1.8";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"12.12.2017 11:30";"22.4";"750.8";"762.7";"0.6";"47";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"12.12.2017 08:30";"14.8";"750.2";"762.4";"";"83";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"747.2";"758.9";"-0.2";"46";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"26.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.6";"";"";"";"";"";"";
"11.12.2017 14:30";"25.8";"747.4";"759.1";"-1.7";"52";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"11.12.2017 11:30";"22.8";"749.1";"761.0";"0.6";"71";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"11.12.2017 08:30";"20.0";"748.5";"760.5";"";"80";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"18.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"10.12.2017 17:30";"27.6";"746.9";"758.5";"-0.2";"49";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.9";"";"";"";"";"";"";
