# Weather station Thanjavur, India, WMO_ID=43330,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43330&lang=en
#
"Local time in Thanjavur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.07.2016 17:30";"34.2";"746.7";"752.8";"";"56";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"01.07.2016 08:30";"30.2";"749.3";"755.5";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"30.06.2016 08:30";"29.6";"749.8";"755.8";"";"66";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"29.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"29.06.2016 17:30";"31.8";"747.2";"753.4";"";"58";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"29.06.2016 08:30";"29.2";"749.7";"755.8";"";"67";"Wind blowing from the west-northwest";"2";"";"";"60%.";" ";"";"";"28.4";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"28.06.2016 17:30";"31.8";"746.9";"753.1";"";"60";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"28.06.2016 08:30";"29.4";"748.9";"755.1";"";"67";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"27.06.2016 17:30";"33.0";"747.3";"753.4";"";"60";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"35.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"27.06.2016 08:30";"29.4";"749.3";"755.5";"";"67";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"26.06.2016 17:30";"33.2";"747.6";"753.7";"";"59";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"35.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"26.06.2016 08:30";"29.2";"749.6";"755.8";"";"66";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"25.06.2016 17:30";"32.8";"746.7";"752.8";"";"59";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"25.06.2016 08:30";"28.2";"750.1";"756.2";"";"69";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"27.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"24.06.2016 17:30";"30.0";"747.6";"753.7";"";"65";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"31.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"24.06.2016 08:30";"25.2";"749.9";"756.1";"";"88";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"23.06.2016 17:30";"27.2";"747.9";"754.1";"";"78";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"23.06.2016 08:30";"26.8";"750.9";"757.1";"";"77";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"25.6";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"22.06.2016 17:30";"32.4";"747.6";"753.6";"";"62";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"22.06.2016 08:30";"29.2";"748.9";"755.1";"";"67";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"21.06.2016 17:30";"31.2";"746.5";"752.6";"";"63";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"21.06.2016 08:30";"29.2";"748.6";"754.7";"";"68";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"20.06.2016 17:30";"32.0";"746.1";"752.2";"";"63";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"36.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"20.06.2016 08:30";"29.2";"748.5";"754.6";"";"70";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"19.06.2016 17:30";"31.6";"746.8";"752.5";"";"65";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"35.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"19.06.2016 08:30";"29.2";"749.3";"755.5";"";"67";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"18.06.2016 17:30";"32.4";"746.8";"752.9";"";"62";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"18.06.2016 08:30";"30.2";"748.4";"754.6";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"17.06.2016 17:30";"34.6";"";"752.3";"";"54";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"37.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"17.06.2016 08:30";"30.2";"749.2";"755.4";"";"63";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"16.06.2016 17:30";"34.0";"746.5";"752.6";"";"56";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"16.06.2016 08:30";"30.2";"749.8";"755.9";"";"63";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"15.06.2016 17:30";"35.4";"747.9";"754.0";"";"52";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"15.06.2016 08:30";"30.2";"749.9";"756.1";"";"61";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"14.06.2016 17:30";"35.2";"748.2";"752.8";"";"53";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"38.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"14.06.2016 08:30";"30.2";"750.7";"756.8";"";"63";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"13.06.2016 17:30";"34.8";"748.6";"754.7";"";"53";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"13.06.2016 08:30";"30.2";"751.5";"757.6";"";"65";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"12.06.2016 17:30";"34.0";"748.4";"754.5";"";"56";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"12.06.2016 08:30";"30.2";"751.8";"757.9";"";"64";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"11.06.2016 08:30";"29.2";"750.7";"756.9";"";"68";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"10.06.2016 17:30";"34.8";"747.5";"753.6";"";"53";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"10.06.2016 08:30";"29.2";"751.2";"757.3";"";"70";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"09.06.2016 17:30";"32.8";"748.0";"754.1";"";"57";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"09.06.2016 08:30";"29.2";"755.4";"756.7";"";"70";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"08.06.2016 17:30";"31.0";"747.7";"753.8";"";"67";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"08.06.2016 08:30";"29.2";"750.8";"757.0";"";"71";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"07.06.2016 17:30";"31.2";"747.9";"754.0";"";"66";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"07.06.2016 08:30";"30.2";"750.7";"756.9";"";"66";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"29.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"06.06.2016 08:30";"29.0";"750.5";"756.7";"";"69";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"05.06.2016 17:30";"32.2";"748.8";"754.9";"";"63";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"05.06.2016 08:30";"30.2";"749.9";"756.1";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"04.06.2016 08:30";"30.6";"749.2";"755.8";"";"68";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"03.06.2016 08:30";"30.2";"749.8";"756.0";"";"65";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"02.06.2016 17:30";"33.0";"748.0";"754.1";"";"60";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"02.06.2016 08:30";"30.2";"750.2";"756.4";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"01.06.2016 17:30";"33.8";"747.9";"754.0";"";"57";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"01.06.2016 08:30";"30.2";"750.7";"756.8";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"31.05.2016 08:30";"30.2";"750.5";"756.7";"";"65";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"30.05.2016 17:30";"33.8";"747.4";"753.5";"";"58";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"39.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"30.05.2016 08:30";"30.2";"750.1";"756.3";"";"64";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"29.05.2016 17:30";"34.2";"748.6";"754.6";"";"56";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"29.05.2016 08:30";"30.2";"750.5";"756.7";"";"65";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"28.05.2016 17:30";"33.4";"748.7";"754.8";"";"58";"Wind blowing from the west-northwest";"12";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"28.05.2016 08:30";"30.4";"751.0";"757.2";"";"65";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"27.05.2016 08:30";"31.6";"750.6";"756.7";"";"61";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"32.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"26.05.2016 17:30";"36.0";"746.8";"752.8";"";"50";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"39.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"26.05.2016 08:30";"31.2";"750.0";"756.1";"";"61";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"25.05.2016 08:30";"31.2";"749.9";"756.1";"";"61";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"30.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"24.05.2016 17:30";"34.8";"748.4";"754.5";"";"53";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"39.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"24.05.2016 08:30";"30.6";"750.7";"756.9";"";"63";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"23.05.2016 17:30";"35.2";"747.8";"753.9";"";"53";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"39.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"23.05.2016 08:30";"31.6";"750.8";"757.0";"";"60";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"22.05.2016 17:30";"33.8";"748.6";"754.6";"";"57";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"37.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"22.05.2016 08:30";"31.2";"748.9";"755.0";"";"62";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"21.05.2016 17:30";"33.4";"747.4";"753.4";"";"58";"Wind blowing from the south-southeast";"2";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"21.05.2016 08:30";"29.2";"747.9";"754.0";"";"71";"Wind blowing from the south-southwest";"16";"";"";"50%.";" ";"";"";"27.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"20.05.2016 17:30";"30.2";"746.6";"752.7";"";"70";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"19.05.2016 17:30";"32.6";"745.0";"751.1";"";"62";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"19.05.2016 08:30";"28.2";"747.9";"754.0";"";"76";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"27.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
