# Weather station Jalna, India, WMO_ID=43012,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43012&lang=en
#
"Local time in Jalna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.10.2017 08:30";"24.0";"711.8";"756.6";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"12.10.2017 08:30";"25.2";"712.5";"757.0";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"21.7";"";"";"";"";"";"";
"11.10.2017 17:30";"29.0";"710.5";"754.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"11.10.2017 08:30";"23.0";"711.9";"756.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"10.10.2017 17:30";"24.6";"709.2";"753.7";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"22.9";"";"";"";"";"";"";
"10.10.2017 08:30";"23.6";"712.3";"757.2";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"10.0";"21.5";"";"";"";"";"";"";
"09.10.2017 17:30";"27.0";"710.2";"754.4";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.0";"";"";"600-1000";"";"";"10.0";"22.7";"";"";"";"";"";"";
"09.10.2017 08:30";"25.0";"712.0";"756.7";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"10.0";"22.1";"";"";"";"";"";"";
"07.10.2017 17:30";"29.0";"710.5";"754.5";"";"72";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.0";"";"";"600-1000";"";"";"10.0";"23.4";"";"";"";"";"";"";
"07.10.2017 08:30";"27.0";"713.0";"757.4";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"06.10.2017 17:30";"27.0";"710.7";"754.9";"";"79";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.0";"";"";"600-1000";"";"";"10.0";"23.0";"";"";"";"";"";"";
"05.10.2017 17:30";"30.0";"710.2";"754.0";"";"60";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"10.0";"21.3";"";"";"";"";"";"";
"05.10.2017 08:30";"";"712.8";"757.6";"";"";"Wind blowing from the north-northeast";"19";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"22.4";"";"";"";"";"";"";
"04.10.2017 17:30";"33.0";"711.1";"754.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"04.10.2017 08:30";"25.0";"714.7";"759.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"03.10.2017 17:30";"32.8";"710.6";"754.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
"03.10.2017 08:30";"24.4";"712.9";"757.6";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"29.09.2017 17:30";"31.0";"";"753.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"22.8";"";"";"";"";"";"";
"28.09.2017 17:30";"30.0";"709.8";"753.6";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"28.09.2017 08:30";"25.2";"712.3";"756.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"26.09.2017 17:30";"30.8";"710.6";"754.3";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"26.09.2017 08:30";"24.8";"712.9";"757.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"10.0";"23.1";"";"";"";"";"";"";
"25.09.2017 17:30";"31.0";"710.5";"754.1";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"25.09.2017 08:30";"25.0";"714.0";"758.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"23.09.2017 08:30";"23.0";"713.8";"758.9";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.1";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"22.09.2017 08:30";"23.4";"712.0";"756.7";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
