# Weather station Satara, India, WMO_ID=43113,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43113&lang=en
#
"Local time in Satara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.02.2016 17:30";"30.4";"699.9";"756.6";"";"27";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"33.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.1";"";"";"";"";"";"";
"25.02.2016 08:30";"17.4";"701.7";"761.1";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"15.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"24.02.2016 17:30";"30.6";"699.3";"755.8";"";"32";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"34.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.3";"";"";"";"";"";"";
"24.02.2016 08:30";"22.2";"701.2";"759.4";"";"36";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.5";"";"";"";"";"";"";
"23.02.2016 17:30";"33.6";"698.9";"754.9";"";"22";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"37.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"8.8";"";"";"";"";"";"";
"23.02.2016 08:30";"28.0";"702.0";"760.6";"";"39";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.7";"";"";"";"";"";"";
"22.02.2016 17:30";"33.6";"700.3";"756.4";"";"26";"Wind blowing from the south-southeast";"2";"";"";"50%.";" ";"";"";"";"37.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.3";"";"";"";"";"";"";
"22.02.2016 08:30";"22.6";"702.8";"761.2";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.3";"";"";"";"";"";"";
"21.02.2016 17:30";"33.0";"699.7";"755.9";"";"34";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"35.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"15.3";"";"";"";"";"";"";
"21.02.2016 08:30";"23.2";"703.3";"761.5";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.3";"";"";"";"";"";"";
"20.02.2016 17:30";"33.6";"700.3";"756.4";"";"28";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"12.7";"";"";"";"";"";"";
"20.02.2016 08:30";"22.6";"703.9";"762.4";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.6";"";"";"";"";"";"";
"19.02.2016 17:30";"32.0";"700.9";"757.3";"";"38";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"34.6";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.0";"";"";"";"";"";"";
"19.02.2016 08:30";"20.0";"703.6";"762.7";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.8";"";"";"";"";"";"";
"18.02.2016 17:30";"32.2";"699.8";"756.0";"";"30";"Wind blowing from the east-northeast";"2";"";"";"50%.";" ";"";"";"";"34.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.4";"";"";"";"";"";"";
"18.02.2016 08:30";"18.8";"702.6";"761.8";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"17.02.2016 17:30";"31.6";"699.8";"756.1";"";"30";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"33.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.0";"";"";"";"";"";"";
"17.02.2016 08:30";"20.0";"703.0";"762.1";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.8";"";"";"";"";"";"";
"16.02.2016 17:30";"31.4";"699.6";"755.9";"";"29";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.2";"";"";"";"";"";"";
"16.02.2016 08:30";"18.0";"702.4";"761.8";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"16.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.3";"";"";"";"";"";"";
"15.02.2016 17:30";"31.0";"699.9";"756.6";"";"29";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.1";"";"";"";"";"";"";
"15.02.2016 08:30";"18.6";"702.1";"761.3";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.2";"";"";"";"";"";"";
"14.02.2016 17:30";"30.4";"699.4";"756.0";"";"31";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.6";"";"";"";"";"";"";
"14.02.2016 08:30";"15.4";"702.1";"762.0";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.9";"";"";"";"";"";"";
"13.02.2016 17:30";"28.2";"699.7";"756.6";"";"33";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"32.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"10.6";"";"";"";"";"";"";
"13.02.2016 08:30";"16.0";"701.7";"761.5";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.2";"";"";"";"";"";"";
"12.02.2016 17:30";"27.4";"699.3";"756.4";"";"37";"Wind blowing from the south-southeast";"2";"";"";"50%.";" ";"";"";"";"32.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.3";"";"";"";"";"";"";
"12.02.2016 08:30";"15.0";"700.9";"761.0";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"11.02.2016 17:30";"26.8";"699.8";"757.1";"";"52";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"30.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"11.02.2016 08:30";"19.0";"700.7";"759.8";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.4";"";"";"";"";"";"";
"10.02.2016 17:30";"28.4";"699.7";"756.6";"";"43";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"31.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.8";"";"";"";"";"";"";
"10.02.2016 08:30";"18.6";"701.5";"760.6";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.7";"";"";"";"";"";"";
"09.02.2016 17:30";"30.4";"699.3";"755.8";"";"40";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"";"33.9";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.4";"";"";"";"";"";"";
"08.02.2016 17:30";"31.0";"699.7";"756.3";"";"30";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.5";"";"";"";"";"";"";
"08.02.2016 08:30";"15.6";"702.7";"762.6";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.6";"";"";"";"";"";"";
"07.02.2016 08:30";"14.8";"702.0";"762.1";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.7";"";"";"";"";"";"";
"06.02.2016 17:30";"28.4";"698.9";"755.8";"";"27";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"7.9";"";"";"";"";"";"";
"05.02.2016 08:30";"14.2";"702.0";"762.1";"";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.7";"";"";"";"";"";"";
"04.02.2016 17:30";"32.0";"699.6";"755.9";"";"28";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.4";"";"";"";"";"";"";
"04.02.2016 08:30";"14.0";"703.1";"763.5";"";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.5";"";"";"";"";"";"";
"03.02.2016 17:30";"32.0";"700.5";"757.0";"";"18";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"4.5";"";"";"";"";"";"";
"03.02.2016 08:30";"15.4";"703.3";"763.3";"";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"13.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.5";"";"";"";"";"";"";
"02.02.2016 17:30";"32.0";"700.9";"757.3";"";"20";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"34.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.4";"";"";"";"";"";"";
"02.02.2016 08:30";"16.8";"703.9";"763.7";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.3";"";"";"";"";"";"";
"01.02.2016 17:30";"31.6";"700.9";"757.4";"";"26";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.1";"";"";"";"";"";"";
"01.02.2016 08:30";"17.6";"703.7";"763.3";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.8";"";"";"";"";"";"";
"31.01.2016 17:30";"32.0";"700.5";"757.0";"";"23";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"8.1";"";"";"";"";"";"";
"31.01.2016 08:30";"17.2";"703.6";"763.2";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.6";"";"";"";"";"";"";
"30.01.2016 17:30";"31.8";"701.1";"757.6";"";"29";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.8";"";"";"";"";"";"";
"30.01.2016 08:30";"17.0";"704.2";"763.9";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.8";"";"";"";"";"";"";
"29.01.2016 17:30";"30.8";"701.9";"758.7";"";"25";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"33.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"8.7";"";"";"";"";"";"";
"29.01.2016 08:30";"16.2";"703.8";"763.6";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.9";"";"";"";"";"";"";
"28.01.2016 17:30";"31.6";"700.7";"757.2";"";"19";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"20.0";"5.0";"";"";"";"";"";"";
"28.01.2016 08:30";"16.0";"703.2";"763.2";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"27.01.2016 17:30";"30.0";"700.1";"757.0";"";"32";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"20.0";"11.4";"";"";"";"";"";"";
"27.01.2016 08:30";"15.4";"702.5";"762.4";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"26.01.2016 17:30";"29.8";"699.8";"756.6";"";"32";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"20.0";"11.6";"";"";"";"";"";"";
"26.01.2016 08:30";"15.6";"705.0";"762.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"25.01.2016 17:30";"28.6";"700.0";"757.1";"";"35";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"31.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.7";"";"";"";"";"";"";
"25.01.2016 08:30";"15.6";"703.2";"763.0";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"24.01.2016 17:30";"28.8";"701.4";"758.5";"";"40";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"30.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.7";"";"";"";"";"";"";
"24.01.2016 08:30";"17.2";"704.1";"763.6";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.1";"";"";"";"";"";"";
"23.01.2016 17:30";"27.4";"701.6";"759.0";"";"40";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.6";"";"";"";"";"";"";
"23.01.2016 08:30";"13.6";"704.4";"764.9";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.7";"";"";"";"";"";"";
"22.01.2016 17:30";"27.0";"701.0";"758.5";"";"30";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"7.8";"";"";"";"";"";"";
"22.01.2016 08:30";"13.2";"704.3";"764.7";"";"60";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"11.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.5";"";"";"";"";"";"";
"21.01.2016 17:30";"26.0";"700.9";"758.6";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"20.0";"7.7";"";"";"";"";"";"";
"21.01.2016 08:30";"14.6";"704.5";"762.3";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"20.01.2016 17:30";"26.4";"700.0";"757.4";"";"23";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"20.0";"3.9";"";"";"";"";"";"";
"20.01.2016 08:30";"12.6";"702.8";"763.3";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.2";"";"";"";"";"";"";
"19.01.2016 17:30";"25.6";"699.3";"756.8";"";"34";"Wind blowing from the east-southeast";"1";"";"";"50%.";" ";"";"";"";"28.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"8.6";"";"";"";"";"";"";
"19.01.2016 08:30";"14.0";"700.9";"761.0";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.9";"";"";"";"";"";"";
"18.01.2016 17:30";"25.4";"698.2";"755.5";"";"32";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"28.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.3";"";"";"";"";"";"";
"18.01.2016 08:30";"15.0";"700.9";"760.8";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.3";"";"";"";"";"";"";
"17.01.2016 17:30";"25.2";"698.5";"756.1";"";"36";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"";"28.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.0";"";"";"";"";"";"";
