# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.11.2017 17:30";"26.0";"720.0";"758.0";"";"38";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.11.2017 08:30";"24.4";"723.4";"761.8";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"29.11.2017 17:30";"27.0";"721.4";"759.4";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"29.11.2017 08:30";"22.0";"723.4";"762.2";"";"50";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"28.11.2017 17:30";"26.4";"720.6";"758.6";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"28.11.2017 08:30";"24.0";"722.6";"761.1";"";"36";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"27.11.2017 17:30";"26.0";"720.7";"758.8";"";"30";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"27.11.2017 08:30";"24.0";"724.2";"762.7";"";"27";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"3.7";"";"";"";"";"";"";
"26.11.2017 17:30";"25.0";"720.6";"758.8";"";"47";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"26.11.2017 08:30";"17.0";"723.3";"762.7";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"25.11.2017 17:30";"27.4";"720.4";"758.3";"";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.11.2017 08:30";"21.0";"722.6";"761.5";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"24.11.2017 17:30";"27.0";"720.5";"758.5";"";"50";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"32.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"24.11.2017 08:30";"23.0";"723.4";"762.0";"";"45";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"23.11.2017 17:30";"29.0";"719.0";"756.6";"";"52";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"23.11.2017 08:30";"24.0";"720.9";"759.3";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
