# Weather station Hardoi, India, WMO_ID=42271,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42271&lang=en
#
"Local time in Hardoi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"07.12.2017 17:30";"24.0";"";"";"";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.3";"";"";"";"";"";"";
"07.12.2017 08:30";"17.4";"747.1";"759.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"16.0";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"06.12.2017 17:30";"23.4";"751.8";"764.2";"";"64";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.5";"";"";"";"";"";"2.0";"16.2";"";"";"";"";"";"";
"06.12.2017 08:30";"13.0";"748.1";"760.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.5";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"05.12.2017 17:30";"21.0";"747.6";"760.0";"";"58";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"1.0";"12.3";"";"";"";"";"";"";
"05.12.2017 08:30";"16.0";"748.2";"760.9";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"";"";"";"";"";"1.0";"13.1";"";"";"";"";"";"";
"04.12.2017 17:30";"22.4";"746.3";"758.7";"";"51";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"04.12.2017 08:30";"14.0";"748.7";"761.5";"";"89";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.2";"";"";"";"";"";"";
"03.12.2017 17:30";"22.0";"747.2";"759.6";"";"63";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"";"";"";"2.0";"14.5";"";"";"";"";"";"";
"03.12.2017 08:30";"12.4";"748.9";"761.7";"";"84";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"9.7";"";"";"";"";"";"";
