# Weather station Simara (airport), Nepal, WMO_ID=44449,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44449&lang=en
#
"Local time in Simara (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.09.2013 11:45";"32.0";"742.1";"753.3";"";"73";"";"";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.5";"";"";"";"";"";"";
"16.09.2013 05:45";"23.6";"741.1";"752.2";"";"99";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.4";"";"";"";"";"";"";
"15.09.2013 17:45";"31.2";"738.3";"749.5";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.8";"No precipitation";"9";"";"";"";"";
"15.09.2013 11:45";"33.2";"741.5";"752.7";"";"70";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.9";"";"";"";"";"";"";
"15.09.2013 05:45";"23.7";"742.4";"753.7";"";"";"Calm, no wind";"0";"";"";"70 – 80%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"";"";"";"";"";"";"";
"14.09.2013 17:45";"32.6";"739.4";"750.7";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"36.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.3";"No precipitation";"9";"";"";"";"";
"14.09.2013 11:45";"34.4";"742.9";"754.1";"";"76";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.5";"";"";"";"";"";"";
"14.09.2013 05:45";"25.0";"743.5";"754.7";"";"98";"Wind blowing from the north-northwest";"1";"";"";"10%  or less, but not 0";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"24.7";"";"";"";"";"";"";
"13.09.2013 17:45";"33.6";"741.6";"753.1";"";"83";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"";"35.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"30.4";"No precipitation";"9";"";"";"";"";
"13.09.2013 11:45";"34.4";"745.3";"756.6";"";"76";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"29.5";"";"";"";"";"";"";
"13.09.2013 05:45";"24.2";"745.8";"757.0";"";"97";"Wind blowing from the north-east";"1";"";"";"50%.";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"23.7";"";"";"";"";"";"";
"12.09.2013 17:45";"33.4";"742.7";"754.0";"";"81";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"34.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.8";"No precipitation";"9";"";"";"";"";
"12.09.2013 11:45";"32.8";"746.2";"757.5";"";"75";"Wind blowing from the east-southeast";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.9";"";"";"";"";"";"";
"12.09.2013 05:45";"25.4";"745.8";"757.0";"";"91";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.8";"No precipitation";"24";"";"";"";"";
"11.09.2013 17:45";"33.0";"742.1";"";"";"86";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"";"34.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"30.4";"No precipitation";"9";"";"";"";"";
"11.09.2013 11:45";"32.4";"744.5";"755.8";"";"79";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"28.2";"";"";"";"";"";"";
"11.09.2013 05:45";"24.0";"743.5";"754.7";"";"96";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"10.09.2013 17:45";"32.0";"742.1";"753.4";"";"89";"Wind blowing from the south";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"33.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"29.9";"No precipitation";"9";"";"";"";"";
"10.09.2013 05:45";"23.8";"744.9";"756.1";"";"98";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"23.4";"";"";"";"";"";"";
"09.09.2013 17:45";"32.8";"742.9";"754.2";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"30.9";"No precipitation";"9";"";"";"";"";
"09.09.2013 11:45";"31.2";"746.1";"757.3";"";"79";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"27.1";"";"";"";"";"";"";
"09.09.2013 05:45";"23.8";"745.5";"756.7";"";"97";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"10.0";"23.3";"";"";"";"";"";"";
"08.09.2013 17:45";"32.6";"743.8";"755.0";"";"77";"Wind blowing from the south-southwest";"3";"";"";"20–30%.";" ";"";"";"";"34.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.1";"No precipitation";"9";"";"";"";"";
"08.09.2013 11:45";"32.4";"745.4";"756.7";"";"72";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.8";"";"";"";"";"";"";
"08.09.2013 05:45";"23.4";"744.4";"755.7";"";"94";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"10.0";"22.4";"";"";"";"";"";"";
"07.09.2013 17:45";"31.6";"742.0";"753.3";"";"77";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"";"33.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"27.1";"No precipitation";"9";"";"";"";"";
"07.09.2013 11:45";"32.4";"744.3";"755.5";"";"74";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"27.1";"";"";"";"";"";"";
"07.09.2013 05:45";"25.0";"743.2";"754.5";"";"83";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.5";"21.9";"";"";"";"";"";"";
"06.09.2013 11:45";"32.8";"741.8";"753.1";"0.7";"75";"Wind blowing from the west";"3";"";"";"40%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.8";"";"";"";"";"";"";
"06.09.2013 08:45";"28.6";"741.1";"752.7";"0.5";"100";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"";"40%.";"300-600";"";"";"4.0";"28.6";"";"";"";"";"";"";
"06.09.2013 05:45";"25.6";"740.6";"751.9";"";"89";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"1.0";"23.7";"";"";"";"";"";"";
"05.09.2013 17:45";"31.4";"737.6";"748.9";"";"77";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"33.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.9";"No precipitation";"9";"";"";"";"";
"05.09.2013 11:45";"31.8";"739.9";"751.2";"";"78";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"27.4";"";"";"";"";"";"";
"05.09.2013 05:45";"26.2";"738.6";"749.8";"";"95";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"1.0";"25.4";"";"";"";"";"";"";
"04.09.2013 17:45";"29.8";"738.1";"749.4";"";"82";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"33.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.5";"1.0";"9";"";"";"";"";
"04.09.2013 05:45";"25.4";"740.8";"752.1";"";"94";"Calm, no wind";"0";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.8";"24.4";"";"";"";"";"";"";
"03.09.2013 17:45";"30.0";"739.9";"751.2";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"26.7";"No precipitation";"9";"";"";"";"";
"03.09.2013 11:45";"28.0";"742.4";"753.7";"";"89";"Wind blowing from the south";"2";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"60%.";"200-300";"Altostratus translucidus.";"";"8.0";"26.0";"";"";"";"";"";"";
"03.09.2013 05:45";"25.0";"742.0";"753.4";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"24.7";"";"";"";"";"";"";
"02.09.2013 14:45";"25.0";"739.9";"751.6";"";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"";"70 – 80%.";"100-200";"";"";"3.0";"25.0";"";"";"";"";"";"";
"02.09.2013 05:45";"26.0";"741.9";"753.1";"";"98";"Calm, no wind";"0";"";"";"100%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.0";"25.7";"";"";"";"";"";"";
"01.09.2013 17:45";"29.4";"739.6";"750.9";"-0.9";"89";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.4";"No precipitation";"9";"";"";"";"";
"01.09.2013 14:45";"30.6";"740.5";"752.0";"";"82";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"6.0";"27.2";"";"";"";"";"";"";
"01.09.2013 05:45";"25.0";"741.3";"752.6";"";"98";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"31.08.2013 17:45";"28.0";"739.9";"751.2";"-0.7";"89";"Wind blowing from the north";"3";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"5.0";"26.1";"No precipitation";"12";"";"";"";"";
"31.08.2013 14:45";"33.2";"740.6";"752.0";"-1.9";"73";"Wind blowing from the south-east";"3";"";"";"40%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"10.0";"27.8";"";"";"";"";"";"";
"31.08.2013 11:45";"32.2";"742.5";"753.7";"";"66";"Wind blowing from the south-east";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"25.0";"";"";"";"";"";"";
"31.08.2013 05:45";"25.6";"741.1";"752.3";"";"99";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"5.0";"25.4";"";"";"";"";"";"";
"30.08.2013 17:45";"32.0";"739.7";"751.0";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"28.4";"No precipitation";"9";"";"";"";"";
"30.08.2013 11:45";"32.0";"742.4";"753.7";"";"78";"Wind blowing from the south-southeast";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.8";"";"";"";"";"";"";
"30.08.2013 05:45";"25.4";"741.7";"753.0";"";"94";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"5.0";"24.4";"";"";"";"";"";"";
"29.08.2013 17:45";"29.0";"740.8";"752.0";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"32.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"26.8";"No precipitation";"9";"";"";"";"";
"29.08.2013 11:45";"30.4";"742.9";"754.1";"";"76";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"25.8";"";"";"";"";"";"";
"29.08.2013 05:45";"25.4";"741.9";"753.1";"";"93";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.1";"";"";"";"";"";"";
"28.08.2013 17:45";"28.0";"739.9";"751.2";"";"89";"Wind blowing from the north";"3";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"5.0";"26.1";"";"";"";"";"";"";
"28.08.2013 11:45";"31.4";"742.3";"752.9";"";"77";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altostratus translucidus.";"";"12.0";"26.8";"";"";"";"";"";"";
"28.08.2013 05:45";"25.6";"741.1";"752.5";"";"97";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.1";"";"";"";"";"";"";
"27.08.2013 17:45";"27.2";"739.3";"750.6";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"28.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"25.6";"35.0";"9";"";"";"";"";
"27.08.2013 11:45";"24.6";"741.2";"752.5";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, heavy at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.5";"24.2";"";"";"";"";"";"";
"27.08.2013 05:45";"25.2";"739.4";"750.7";"";"95";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.4";"";"";"";"";"";"";
"26.08.2013 17:45";"29.8";"736.9";"748.1";"";"83";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"26.7";"3.0";"9";"";"";"";"";
"26.08.2013 11:45";"26.2";"739.8";"751.0";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"25.08.2013 17:45";"33.0";"736.3";"747.4";"";"74";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"36.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"27.8";"No precipitation";"9";"";"";"";"";
"25.08.2013 11:45";"34.6";"739.4";"";"";"";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"";"";"";"";"";"";"";
"24.08.2013 17:45";"33.2";"738.7";"749.8";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.3";"No precipitation";"9";"";"";"";"";
"24.08.2013 11:45";"33.4";"741.2";"752.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.7";"";"";"";"";"";"";
"23.08.2013 11:45";"32.8";"741.3";"752.5";"";"74";"Wind blowing from the south-east";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"27.5";"";"";"";"";"";"";
