# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.11.2017 08:30";"25.0";"759.0";"760.0";"";"91";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"18.11.2017 20:30";"25.6";"757.8";"758.8";"1.2";"90";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"18.11.2017 17:30";"27.2";"756.6";"757.6";"";"84";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.3";"";"";"";"";"";"";
"17.11.2017 17:30";"25.0";"756.5";"757.5";"";"91";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"17.11.2017 08:30";"24.0";"758.5";"759.5";"";"91";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"16.11.2017 17:30";"23.5";"757.2";"758.2";"";"91";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"24.0";"";"";"2000-2500";"";"";"4.0";"21.9";"";"";"";"";"";"";
"16.11.2017 08:30";"21.5";"759.6";"760.7";"";"90";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"20.0";"";"";"";"2000-2500";"";"";"4.0";"19.8";"";"";"";"";"";"";
"15.11.2017 08:30";"23.0";"759.0";"760.1";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.1";"";"";"";"";"";"";
"14.11.2017 17:30";"29.0";"756.1";"757.1";"";"85";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"30.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"14.11.2017 08:30";"26.0";"759.1";"760.1";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"13.11.2017 17:30";"17.0";"754.8";"755.9";"";"";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.11.2017 08:30";"24.0";"759.4";"760.4";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"12.11.2017 17:30";"28.0";"757.3";"758.3";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"12.11.2017 08:30";"24.5";"758.2";"759.2";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"11.11.2017 08:30";"26.5";"759.9";"760.9";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"10.11.2017 17:30";"26.5";"756.4";"757.4";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"10.11.2017 08:30";"26.0";"759.1";"760.1";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
