# Weather station Balurghat, India, WMO_ID=42506,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42506&lang=en
#
"Local time in Balurghat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.05.2016 08:30";"25.8";"752.1";"754.3";"";"93";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"1.0";"24.6";"";"";"";"";"";"";
"12.05.2016 17:30";"31.6";"752.9";"755.1";"";"82";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"34.3";"";"";"600-1000";"";"";"2.0";"28.1";"";"";"";"";"";"";
"12.05.2016 08:30";"25.0";"752.7";"754.9";"";"95";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.1";"";"";"";"600-1000";"";"";"2.0";"24.2";"";"";"";"";"";"";
"11.05.2016 17:30";"31.8";"753.4";"755.6";"";"80";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.2";"";"";"600-1000";"";"";"2.0";"28.0";"";"";"";"";"";"";
"11.05.2016 08:30";"27.4";"752.8";"755.0";"";"94";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"10.05.2016 17:30";"32.0";"753.1";"755.3";"";"80";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"4.0";"28.2";"";"";"";"";"";"";
"10.05.2016 08:30";"28.2";"752.7";"754.9";"";"91";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"25.2";"";"";"";"300-600";"";"";"1.0";"26.5";"";"";"";"";"";"";
"09.05.2016 17:30";"31.0";"753.2";"755.4";"";"81";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"1000-1500";"";"";"1.0";"27.4";"";"";"";"";"";"";
"09.05.2016 08:30";"27.4";"752.6";"754.8";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"0.5";"26.0";"";"";"";"";"";"";
"08.05.2016 17:30";"30.6";"753.3";"755.5";"";"88";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"1000-1500";"";"";"4.0";"28.4";"";"";"";"";"";"";
"08.05.2016 08:30";"27.0";"753.0";"755.2";"";"94";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"4.0";"25.9";"";"";"";"";"";"";
"07.05.2016 17:30";"32.0";"752.9";"755.1";"";"80";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"34.9";"";"";"1000-1500";"";"";"1.0";"28.2";"";"";"";"";"";"";
"07.05.2016 08:30";"27.8";"752.3";"754.5";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"1.0";"25.8";"";"";"";"";"";"";
"06.05.2016 17:30";"31.6";"753.0";"755.2";"";"82";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"600-1000";"";"";"4.0";"28.1";"";"";"";"";"";"";
"06.05.2016 08:30";"27.2";"752.7";"754.9";"";"92";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.2";"";"";"";"300-600";"";"";"1.0";"25.8";"";"";"";"";"";"";
"05.05.2016 17:30";"31.6";"753.5";"755.7";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"34.8";"";"";"300-600";"";"";"2.0";"28.1";"";"";"";"";"";"";
"05.05.2016 08:30";"27.4";"753.3";"755.5";"";"90";"Wind blowing from the east";"0";"";"";"40%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"1.0";"25.7";"";"";"";"";"";"";
"04.05.2016 17:30";"31.8";"753.3";"755.5";"";"82";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"35.2";"";"";"600-1000";"";"";"4.0";"28.3";"";"";"";"";"";"";
"04.05.2016 08:30";"27.8";"753.1";"755.3";"";"89";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"300-600";"";"";"2.0";"25.8";"";"";"";"";"";"";
"03.05.2016 17:30";"31.8";"753.1";"755.3";"";"80";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"34.8";"";"";"600-1000";"";"";"2.0";"28.0";"";"";"";"";"";"";
"03.05.2016 08:30";"27.6";"753.0";"755.2";"";"89";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"4.0";"25.6";"";"";"";"";"";"";
"02.05.2016 17:30";"32.2";"751.9";"754.1";"";"82";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"36.1";"";"";"300-600";"";"";"4.0";"28.7";"";"";"";"";"";"";
"02.05.2016 08:30";"28.2";"751.8";"754.0";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"25.8";"";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"01.05.2016 17:30";"32.4";"752.4";"754.6";"";"79";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"36.2";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"01.05.2016 08:30";"28.6";"752.3";"754.5";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"2.0";"26.9";"";"";"";"";"";"";
"30.04.2016 17:30";"32.0";"752.7";"754.9";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"36.0";"";"";"600-1000";"";"";"2.0";"28.2";"";"";"";"";"";"";
"30.04.2016 08:30";"28.4";"752.6";"754.8";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"26.1";"";"";"";"600-1000";"";"";"4.0";"26.7";"";"";"";"";"";"";
"29.04.2016 17:30";"";"";"755.1";"";"";"Wind blowing from the north-northeast";"11";"";"";"10%  or less, but not 0";" ";"";"";"";"35.8";"";"";"2000-2500";"";"";"0.1";"28.4";"";"";"";"";"";"";
"29.04.2016 08:30";"28.2";"752.8";"755.0";"";"91";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"26.2";"";"";"";"300-600";"";"";"4.0";"26.5";"";"";"";"";"";"";
"28.04.2016 17:30";"32.2";"752.9";"755.1";"";"80";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"36.2";"";"";"600-1000";"";"";"2.0";"28.4";"";"";"";"";"";"";
"28.04.2016 08:30";"28.2";"752.8";"755.0";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.8";"";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"27.04.2016 17:30";"32.0";"753.4";"755.6";"";"80";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"35.8";"";"";"300-600";"";"";"2.0";"28.2";"";"";"";"";"";"";
"27.04.2016 08:30";"28.6";"753.1";"755.3";"";"88";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"26.0";"";"";"";"600-1000";"";"";"1.0";"26.5";"";"";"";"";"";"";
"26.04.2016 17:30";"31.8";"753.1";"755.3";"";"83";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.8";"";"";"600-1000";"";"";"1.0";"28.5";"";"";"";"";"";"";
"26.04.2016 08:30";"28.4";"";"755.2";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"25.04.2016 17:30";"31.6";"";"755.4";"";"83";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"35.6";"";"";"300-600";"";"";"1.0";"28.3";"";"";"";"";"";"";
"25.04.2016 08:30";"28.2";"";"755.1";"";"91";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"25.3";"";"";"";"600-1000";"";"";"1.0";"26.5";"";"";"";"";"";"";
"24.04.2016 08:30";"28.0";"";"755.0";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"23.04.2016 17:30";"31.4";"";"755.0";"";"84";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"35.3";"";"";"600-1000";"";"";"2.0";"28.4";"";"";"";"";"";"";
"23.04.2016 08:30";"28.4";"";"754.9";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"22.04.2016 17:30";"31.2";"";"754.4";"";"84";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"35.1";"";"";"600-1000";"";"";"4.0";"28.2";"";"";"";"";"";"";
"22.04.2016 08:30";"28.2";"";"754.4";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.1";"";"";"";"1000-1500";"";"";"10.0";"26.8";"";"";"";"";"";"";
"21.04.2016 17:30";"30.8";"";"754.6";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.8";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"21.04.2016 08:30";"27.4";"";"754.6";"";"90";"Wind blowing from the south-southeast";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"2.0";"25.7";"";"";"";"";"";"";
"20.04.2016 17:30";"31.2";"";"754.6";"";"84";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"2.0";"28.2";"";"";"";"";"";"";
"20.04.2016 08:30";"28.0";"";"754.6";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"19.04.2016 17:30";"30.2";"";"755.1";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.8";"";"";"600-1000";"";"";"2.0";"28.6";"";"";"";"";"";"";
"19.04.2016 08:30";"27.6";"752.1";"754.3";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"15.04.2016 17:30";"31.4";"752.9";"755.1";"";"84";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"35.3";"";"";"300-600";"";"";"2.0";"28.4";"";"";"";"";"";"";
"14.04.2016 17:30";"30.8";"753.3";"755.5";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"34.4";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"14.04.2016 08:30";"27.2";"753.0";"755.2";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"13.04.2016 17:30";"31.6";"753.9";"756.1";"";"82";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"35.1";"";"";"600-1000";"";"";"2.0";"28.1";"";"";"";"";"";"";
"13.04.2016 08:30";"27.6";"753.6";"755.8";"";"90";"Wind blowing from the south-east";"5";"";"";"60%.";" ";"";"";"25.9";"";"";"";"600-1000";"";"";"4.0";"25.9";"";"";"";"";"";"";
"12.04.2016 17:30";"31.0";"754.3";"756.5";"";"87";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"34.8";"";"";"1000-1500";"";"";"4.0";"28.6";"";"";"";"";"";"";
"12.04.2016 08:30";"27.4";"754.1";"756.3";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.8";"";"";"";"600-1000";"";"";"4.0";"25.7";"";"";"";"";"";"";
"11.04.2016 17:30";"30.4";"754.7";"756.9";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"600-1000";"";"";"2.0";"28.5";"";"";"";"";"";"";
"11.04.2016 08:30";"27.0";"754.4";"756.6";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"10.04.2016 17:30";"30.8";"754.7";"756.9";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.2";"";"";"1000-1500";"";"";"2.0";"28.6";"";"";"";"";"";"";
"10.04.2016 08:30";"27.2";"754.7";"756.9";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.3";"";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"09.04.2016 08:30";"27.4";"754.8";"757.0";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"26.0";"";"";"";"";"";"";
"08.04.2016 17:30";"30.2";"755.5";"757.7";"";"84";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.6";"";"";"300-600";"";"";"2.0";"27.2";"";"";"";"";"";"";
"08.04.2016 08:30";"27.2";"755.4";"757.6";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"4.0";"25.8";"";"";"";"";"";"";
"07.04.2016 17:30";"29.2";"755.8";"758.0";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.3";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"07.04.2016 08:30";"27.0";"755.7";"757.9";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"23.5";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"06.04.2016 17:30";"28.8";"755.7";"757.9";"";"88";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"06.04.2016 08:30";"26.6";"755.7";"757.9";"";"90";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"23.2";"";"";"";"300-600";"";"";"1.0";"24.9";"";"";"";"";"";"";
"05.04.2016 17:30";"28.2";"756.6";"758.8";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"05.04.2016 08:30";"26.2";"756.6";"758.8";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"04.04.2016 17:30";"27.4";"757.6";"759.8";"";"90";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"1.0";"25.7";"";"";"";"";"";"";
"04.04.2016 08:30";"25.8";"757.4";"759.7";"";"93";"Wind blowing from the south";"0";"";"";"50%.";" ";"";"";"22.3";"";"";"";"300-600";"";"";"0.5";"24.6";"";"";"";"";"";"";
"03.04.2016 17:30";"28.0";"757.5";"759.7";"";"92";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"03.04.2016 08:30";"26.0";"757.4";"759.7";"";"93";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"22.8";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"02.04.2016 17:30";"27.2";"758.6";"760.8";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"31.6";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"02.04.2016 08:30";"25.2";"757.7";"760.0";"";"93";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"4.0";"24.0";"";"";"";"";"";"";
"01.04.2016 17:30";"26.8";"758.1";"760.3";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"30.2";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"31.03.2016 17:30";"28.4";"757.8";"760.0";"";"89";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.0";"";"";"300-600";"";"";"4.0";"26.4";"";"";"";"";"";"";
"31.03.2016 08:30";"26.2";"757.5";"759.8";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.1";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"30.03.2016 17:30";"28.6";"757.3";"759.5";"";"88";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"30.03.2016 08:30";"26.4";"757.0";"759.2";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"1.0";"24.7";"";"";"";"";"";"";
"29.03.2016 17:30";"27.2";"757.5";"759.7";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"29.03.2016 08:30";"26.0";"757.2";"759.5";"";"92";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"22.8";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"28.03.2016 17:30";"27.6";"757.2";"759.4";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"1.0";"25.9";"";"";"";"";"";"";
"28.03.2016 08:30";"26.4";"757.2";"759.4";"";"94";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.3";"";"";"";"600-1000";"";"";"2.0";"25.3";"";"";"";"";"";"";
"27.03.2016 17:30";"29.2";"756.9";"759.1";"";"92";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"33.4";"";"";"600-1000";"";"";"4.0";"27.8";"";"";"";"";"";"";
"27.03.2016 08:30";"27.0";"756.5";"758.7";"";"92";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"24.3";"";"";"";"300-600";"";"";"1.0";"25.6";"";"";"";"";"";"";
"26.03.2016 17:30";"28.8";"757.1";"759.3";"";"94";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"27.7";"";"";"";"";"";"";
"26.03.2016 08:30";"27.2";"757.0";"759.2";"";"90";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"25.03.2016 08:30";"27.4";"757.4";"759.6";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"1.0";"25.7";"";"";"";"";"";"";
"24.03.2016 17:30";"29.8";"758.7";"760.9";"";"88";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.3";"";"";"300-600";"";"";"2.0";"27.6";"";"";"";"";"";"";
"24.03.2016 08:30";"27.2";"757.8";"760.0";"";"90";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"22.03.2016 17:30";"29.4";"760.1";"762.3";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.1";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"22.03.2016 08:30";"26.6";"759.3";"761.6";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"21.03.2016 17:30";"29.2";"760.0";"762.2";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"21.03.2016 08:30";"26.6";"759.5";"761.8";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.2";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"20.03.2016 17:30";"28.8";"759.9";"762.1";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"2.0";"26.8";"";"";"";"";"";"";
"20.03.2016 08:30";"26.4";"758.9";"761.2";"";"90";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"21.3";"";"";"";"600-1000";"";"";"1.0";"24.7";"";"";"";"";"";"";
"19.03.2016 17:30";"29.2";"759.0";"761.2";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"4.0";"27.8";"";"";"";"";"";"";
"19.03.2016 08:30";"26.6";"758.6";"760.9";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"21.2";"";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"18.03.2016 17:30";"28.8";"759.8";"762.0";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"18.03.2016 08:30";"26.4";"759.3";"761.6";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"2.0";"24.7";"";"";"";"";"";"";
"17.03.2016 17:30";"28.8";"758.9";"761.1";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"16.03.2016 08:30";"26.0";"759.4";"761.7";"";"92";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"300-600";"";"";"2.0";"24.6";"";"";"";"";"";"";
"15.03.2016 17:30";"28.2";"759.6";"761.8";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"15.03.2016 08:30";"26.2";"759.2";"761.5";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"20.8";"";"";"";"600-1000";"";"";"4.0";"24.5";"";"";"";"";"";"";
"14.03.2016 17:30";"27.8";"759.3";"761.5";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"31.9";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"14.03.2016 08:30";"26.0";"758.7";"761.0";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"1.0";"24.9";"";"";"";"";"";"";
"13.03.2016 17:30";"28.2";"759.9";"762.1";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.1";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"13.03.2016 08:30";"26.2";"759.8";"762.1";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"2.0";"24.8";"";"";"";"";"";"";
"12.03.2016 17:30";"29.4";"762.5";"764.7";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"12.03.2016 08:30";"27.4";"759.7";"761.9";"";"90";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"22.5";"";"";"";"300-600";"";"";"1.0";"25.7";"";"";"";"";"";"";
"11.03.2016 17:30";"29.2";"760.1";"762.3";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"27.5";"";"";"";"";"";"";
"11.03.2016 08:30";"27.8";"759.9";"762.1";"";"87";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"10.03.2016 17:30";"28.8";"760.2";"762.4";"";"89";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"1.0";"26.9";"";"";"";"";"";"";
"10.03.2016 08:30";"27.0";"759.4";"761.7";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"09.03.2016 17:30";"28.2";"759.6";"761.8";"";"92";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.8";"";"";"";"";"";"";
"09.03.2016 08:30";"26.6";"759.2";"761.5";"";"89";"";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"1.0";"24.6";"";"";"";"";"";"";
"08.03.2016 08:30";"26.2";"759.4";"761.7";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.6";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"07.03.2016 17:30";"28.2";"759.4";"761.6";"";"92";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.0";"";"";"300-600";"";"";"2.0";"26.8";"";"";"";"";"";"";
"07.03.2016 08:30";"26.0";"759.2";"761.5";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"20.1";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"06.03.2016 08:30";"26.6";"759.5";"761.8";"";"95";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"20.9";"";"";"";"300-600";"";"";"1.0";"25.7";"";"";"";"";"";"";
"05.03.2016 17:30";"28.8";"759.3";"761.5";"";"88";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.1";"";"";"300-600";"";"";"2.0";"26.6";"";"";"";"";"";"";
"05.03.2016 08:30";"26.8";"759.2";"761.5";"";"94";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"20.8";"";"";"";"300-600";"";"";"4.0";"25.7";"";"";"";"";"";"";
"04.03.2016 17:30";"28.8";"759.7";"761.9";"";"72";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"23.3";"";"";"";"";"";"";
"04.03.2016 08:30";"27.4";"759.4";"761.6";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.6";"";"";"";"600-1000";"";"";"2.0";"26.0";"";"";"";"";"";"";
"03.03.2016 17:30";"28.8";"759.9";"762.1";"";"88";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"23.8";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"03.03.2016 08:30";"27.2";"759.6";"761.8";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"21.2";"";"";"";"300-600";"";"";"4.0";"25.8";"";"";"";"";"";"";
"02.03.2016 17:30";"29.2";"759.8";"762.0";"";"91";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"1.0";"27.5";"";"";"";"";"";"";
"02.03.2016 08:30";"27.2";"759.5";"761.7";"";"94";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"2.0";"26.1";"";"";"";"";"";"";
"01.03.2016 17:30";"28.8";"759.4";"761.6";"";"94";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"27.7";"";"";"";"";"";"";
